KODJAZ;AKRCIS;KODCIS;CHODNOTA;ZKRTEXT;TEXT;ADMPLOD;ADMNEPO
"CS";"KATPOECD";579;"000";"Neuvedeno";"Neuvedeno";"01.01.1973";"09.09.9999"
"CS";"KATPOECD";579;"110";"Bez zamìstnancù";"Bez zamìstnancù";"01.01.1973";"09.09.9999"
"CS";"KATPOECD";579;"120";"1 - 5 zamìstnancù";"1 - 5 zamìstnancù";"01.01.1973";"09.09.9999"
"CS";"KATPOECD";579;"130";"6 - 9 zamìstnancù";"6 - 9 zamìstnancù";"01.01.1973";"09.09.9999"
"CS";"KATPOECD";579;"210";"10 - 19 zamìstnancù";"10 - 19 zamìstnancù";"01.01.1973";"09.09.9999"
"CS";"KATPOECD";579;"220";"20 - 24 zamìstnanci";"20 - 24 zamìstnanci";"01.01.1973";"09.09.9999"
"CS";"KATPOECD";579;"230";"25 - 49 zamìstnancù";"25 - 49 zamìstnancù";"01.01.1973";"09.09.9999"
"CS";"KATPOECD";579;"240";"50 - 99 zamìstnancù";"50 - 99 zamìstnancù";"01.01.1973";"09.09.9999"
"CS";"KATPOECD";579;"310";"100 - 199 zamìstnancù";"100 - 199 zamìstnancù";"01.01.1973";"09.09.9999"
"CS";"KATPOECD";579;"320";"200 - 249 zamìstnancù";"200 - 249 zamìstnancù";"01.01.1973";"09.09.9999"
"CS";"KATPOECD";579;"330";"250 - 499 zamìstnancù";"250 - 499 zamìstnancù";"01.01.1973";"09.09.9999"
"CS";"KATPOECD";579;"340";"500 - 999 zamìstnancù";"500 - 999 zamìstnancù";"01.01.1973";"09.09.9999"
"CS";"KATPOECD";579;"410";"1000 - 1499 zamìstnancù";"1000 - 1499 zamìstnancù";"01.01.1973";"09.09.9999"
"CS";"KATPOECD";579;"420";"1500 - 1999 zamìstnancù";"1500 - 1999 zamìstnancù";"01.01.1973";"09.09.9999"
"CS";"KATPOECD";579;"430";"2000 - 2499 zamìstnancù";"2000 - 2499 zamìstnancù";"01.01.1973";"09.09.9999"
"CS";"KATPOECD";579;"440";"2500 - 2999 zamìstnancù";"2500 - 2999 zamìstnancù";"01.01.1973";"09.09.9999"
"CS";"KATPOECD";579;"450";"3000 - 3999 zamìstnancù";"3000 - 3999 zamìstnancù";"01.01.1973";"09.09.9999"
"CS";"KATPOECD";579;"460";"4000 - 4999 zamìstnancù";"4000 - 4999 zamìstnancù";"01.01.1973";"09.09.9999"
"CS";"KATPOECD";579;"470";"5000 - 9999 zamìstnancù";"5000 - 9999 zamìstnancù";"01.01.1973";"09.09.9999"
"CS";"KATPOECD";579;"510";"10 000 a více zamìstnancù";"10 000 a více zamìstnancù";"01.01.1973";"09.09.9999"

